timestamp,store_id,sku,unit,unit_price,transaction_id,qty,cost_price,expiry_date,inventory_open,inventory_close,waste_units
2016-06-15,Baga Road,Maize flour,2.1 KG,431.0,8462,78,380.98286329184475,2016-09-21,86,5,0
2016-06-15,Baga Road,Rice (imported),2.8 KG,934.0,8463,36,758.7755389809244,2017-01-30,60,20,1
2016-06-15,Baga Road,Rice (local),2.7 KG,785.0,8464,34,674.4851900075871,2017-01-02,62,24,0
2016-06-15,Baga Road,Yam,2.5 KG,294.0,8465,75,217.33182192472347,2017-01-03,90,13,3
2016-06-15,Baga Road,Fish,KG,133.0,8466,73,108.0781552368367,2016-09-03,89,13,2
2016-06-15,Baga Road,Meat (beef),KG,933.3,8467,36,779.0979040041065,2016-06-24,82,44,3
2016-06-15,Baga Road,Meat (goat),KG,733.3,8468,92,536.7304750895981,2017-01-20,127,31,3
2016-06-15,Baga Road,Milk (powder),400 G,800.0,8469,65,665.7856942441641,2017-03-13,77,12,1
2016-06-15,Baga Road,Oil (palm),L,444.0,8470,79,324.2887226072454,2017-06-12,85,6,1
2016-06-15,Baga Road,Oil (vegetable),L,427.0,8471,88,380.9104071491344,2017-06-06,93,2,3
2016-06-15,Baga Road,Beans (red),2.5 KG,640.0,8472,27,543.1290728908529,2017-02-19,28,0,0
2016-06-15,Baga Road,Beans (white),2.5 KG,640.0,8473,61,519.9393340402692,2017-02-13,104,41,2
2016-06-15,Baga Road,Groundnuts,2.2 KG,866.0,8474,72,746.6664625544269,2016-10-06,101,25,4
2016-06-15,Baga Road,Onions,0.5 KG,66.7,8475,19,57.95177656329083,2017-01-18,50,29,0
2016-07-15,Baga Road,Maize flour,2.1 KG,388.0,8846,45,290.07192702782925,2016-11-25,88,42,0
2016-07-15,Baga Road,Rice (imported),2.8 KG,1000.0,8847,72,714.3529899258822,2017-01-23,93,21,1
2016-07-15,Baga Road,Rice (local),2.7 KG,835.0,8848,85,735.8757167396236,2017-04-06,109,24,2
2016-07-15,Baga Road,Yam,2.5 KG,294.0,8849,51,213.31500281157423,2016-10-10,83,29,0
2016-07-15,Baga Road,Eggs,30 pcs,1000.0,8850,56,770.3850860050345,2017-06-18,67,9,3
2016-07-15,Baga Road,Fish,KG,111.0,8851,54,95.16868124326095,2016-08-16,87,30,3
2016-07-15,Baga Road,Meat (beef),KG,1133.3,8852,85,966.9327179320181,2016-09-03,114,25,4
2016-07-15,Baga Road,Meat (goat),KG,1200.0,8853,79,872.3029677598543,2016-12-09,101,21,3
2016-07-15,Baga Road,Milk (powder),400 G,400.0,8854,22,350.6220556523669,2016-10-09,32,7,1
2016-07-15,Baga Road,Oil (palm),L,391.0,8855,80,276.1274588806476,2017-03-29,85,4,4
2016-07-15,Baga Road,Oil (vegetable),L,400.0,8856,53,299.28888109185186,2017-01-14,73,17,1
2016-07-15,Baga Road,Beans (red),2.5 KG,577.0,8857,20,436.80904710902814,2017-04-03,68,45,3
2016-07-15,Baga Road,Beans (white),2.5 KG,583.0,8858,43,456.8606384289561,2017-05-24,83,40,3
2016-07-15,Baga Road,Groundnuts,2.2 KG,784.0,8859,83,630.6995273969331,2017-06-26,89,3,4
2016-07-15,Baga Road,Onions,0.5 KG,50.0,8860,43,35.89678079071936,2017-04-20,45,2,0
2016-08-15,Baga Road,Maize flour,2.1 KG,525.0,9238,26,407.8583716222631,2017-08-08,36,9,4
2016-08-15,Baga Road,Rice (imported),2.8 KG,1100.0,9239,44,868.9147248129215,2016-08-26,87,41,0
2016-08-15,Baga Road,Rice (local),2.7 KG,771.0,9240,89,554.369827250267,2017-07-07,112,20,4
2016-08-15,Baga Road,Yam,2.5 KG,276.0,9241,24,208.01766974429106,2017-05-27,47,19,4
2016-08-15,Baga Road,Eggs,30 pcs,611.7,9242,84,447.5269359572503,2016-11-07,121,36,4
2016-08-15,Baga Road,Fish,KG,133.0,9243,53,93.8232876360064,2017-05-03,54,0,0
2016-08-15,Baga Road,Meat (beef),KG,1000.0,9244,83,873.502227367019,2017-07-31,102,19,4
2016-08-15,Baga Road,Meat (goat),KG,1000.0,9245,10,736.7837724907079,2017-06-22,32,20,2
2016-08-15,Baga Road,Milk (powder),400 G,600.0,9246,50,471.11115895266676,2016-09-15,63,11,3
2016-08-15,Baga Road,Oil (palm),L,433.0,9247,65,333.92442831091796,2017-01-22,90,23,0
2016-08-15,Baga Road,Oil (vegetable),L,433.0,9248,22,376.67682488548337,2017-03-02,39,16,1
